bin_width,splits,mean_S_raw,mean_S_match,mean_dS_match,splits_match_reduction_positive,ipw_computed_splits,mean_S_ipw_all,mean_dS_ipw_all,splits_ipw_reduction_positive
5,10,0.027093252710623784,0.016087858050651365,0.011005394659972417,10,10,0.016495711754262517,0.010597540956361267,10
10,10,0.027093252710623784,0.016083423748813337,0.011009828961810447,10,10,0.016258256898471723,0.01083499581215206,10
