split_seed,bin_width,FNRf_raw,FNRm_raw,S_raw,FNRf_match,FNRm_match,S_match,dS_match,match_replicates,matched_unique_patients,FNRf_ipw,FNRm_ipw,S_ipw,dS_ipw,ipw_full_support,ipw_interpretation
3658676649,5,0.5026178010471204,0.4842681258549932,0.018349675192127213,0.5023213723152672,0.49421751586271756,0.00810385645254963,0.010245818739577583,100,6157,0.4988861700232221,0.4891267225648585,0.009759447458363602,0.008590227733763611,False,reproduced but protocol-nonconforming: unsupported sex-by-age cell
3658676649,10,0.5026178010471204,0.4842681258549932,0.018349675192127213,0.5026178010471204,0.49401534461058444,0.008602456436535955,0.009747218755591258,100,6157,0.49888683195758265,0.48916511117242367,0.009721720785158983,0.00862795440696823,False,reproduced but protocol-nonconforming: unsupported sex-by-age cell
768519171,5,0.5044169611307421,0.4989429175475687,0.0054740435831733825,0.5035991014321197,0.5097049163138031,-0.00610581488168338,0.011579858464856763,100,6159,0.49974080724839964,0.5044128916646902,-0.004672084416290523,0.010146127999463905,False,reproduced but protocol-nonconforming: unsupported sex-by-age cell
768519171,10,0.5044169611307421,0.4989429175475687,0.0054740435831733825,0.5038975224194514,0.5088421019021124,-0.004944579482661027,0.01041862306583441,100,6159,0.4997921250581794,0.5041697566555575,-0.00437763159737814,0.009851675180551522,False,reproduced but protocol-nonconforming: unsupported sex-by-age cell
113462462,5,0.5127081507449606,0.451459606245757,0.06124854449920358,0.5117839272505528,0.4594054317071447,0.052378495543408066,0.008870048955795518,100,6159,0.505055675180284,0.4556204528986221,0.04943522228166197,0.01181332221754161,True,supported
113462462,10,0.5127081507449606,0.451459606245757,0.06124854449920358,0.5124078061010351,0.46051303440653535,0.05189477169449974,0.009353772804703842,100,6159,0.5058547266811996,0.4559259169664765,0.04992880971472308,0.011319734784480506,True,supported
2748406118,5,0.5406091370558376,0.4804138950480414,0.06019524200779619,0.5393475558711578,0.48698943976266373,0.05235811610849406,0.007837125899302133,100,6160,0.5354631641108104,0.4839826339885842,0.0514805301222262,0.008714711885569992,True,supported
2748406118,10,0.5406091370558376,0.4804138950480414,0.06019524200779619,0.5407493529353999,0.48750211968685264,0.0532472332485473,0.0069480087592488915,100,6160,0.5371082146894788,0.4838637869145221,0.05324442777495669,0.006950814232839497,True,supported
1569714665,5,0.509515570934256,0.503586800573888,0.005928770360367985,0.5105376969700108,0.5162542923019295,-0.005716595331918706,0.011645365692286691,100,6160,0.5081579453579936,0.5093910871348024,-0.0012331417768087771,0.0071619121371767624,True,supported
1569714665,10,0.509515570934256,0.503586800573888,0.005928770360367985,0.5093280056653594,0.5156358344707851,-0.006307828805425686,0.012236599165793671,100,6160,0.5070191063954903,0.5102121005926926,-0.0031929941972023146,0.0091217645575703,True,supported
2006902500,5,0.5190641247833622,0.5111712931618145,0.007892831621547636,0.5185759327945008,0.5231909406168677,-0.004615007822366901,0.012507839443914537,100,6159,0.5120495681148276,0.5166500861596345,-0.004600518044806878,0.012493349666354514,True,supported
2006902500,10,0.5190641247833622,0.5111712931618145,0.007892831621547636,0.5190403678815868,0.521225095249843,-0.0021847273682561452,0.010077558989803781,100,6159,0.511113614076647,0.516139839286184,-0.005026225209536994,0.01291905683108463,True,supported
342858866,5,0.5033112582781457,0.4865047233468286,0.01680653493131712,0.5024066298537343,0.4958273588803677,0.00657927097336658,0.010227263957950539,100,6159,0.4970817351043397,0.4908157368670675,0.006265998237272197,0.010540536694044922,True,supported
342858866,10,0.5033112582781457,0.4865047233468286,0.01680653493131712,0.5026698228456413,0.4977182039891994,0.004951618856441908,0.01185491607487521,100,6159,0.49618803370972814,0.49193429983666304,0.004253733873065102,0.012552801058252017,True,supported
1591287646,5,0.476027397260274,0.48168624740843125,-0.005658850148157257,0.47563944833719823,0.493930601359806,-0.018291153022607753,0.012632302874450496,100,6158,0.4720578371656287,0.4880950183999671,-0.016037181234338393,0.010378331086181136,True,supported
1591287646,10,0.476027397260274,0.48168624740843125,-0.005658850148157257,0.4760273972602739,0.49511645321223796,-0.019089055951964085,0.013430205803806827,100,6158,0.4722432858732132,0.48845358523045856,-0.016210299357245384,0.010551449209088126,True,supported
2763601433,5,0.527027027027027,0.49748743718592964,0.029539589841097336,0.526384844485957,0.5067372185307305,0.01964762595522651,0.009891963885870825,100,6160,0.5173206335193353,0.5023760550751671,0.014944578444168188,0.014595011396929147,True,supported
2763601433,10,0.527027027027027,0.49748743718592964,0.029539589841097336,0.5268052543075086,0.5081887463504356,0.018616507957072925,0.01092308188402441,100,6160,0.5177334316013297,0.5026877221569356,0.015045709444394095,0.01449388039670324,True,supported
1524358342,5,0.5442820292347378,0.47312588401697314,0.07115614521776464,0.543288172551363,0.4867483860193174,0.056539786532045555,0.014616358685719089,100,6161,0.5394660655989311,0.4798517991277535,0.05961426647117757,0.011541878746587075,True,supported
1524358342,10,0.5442820292347378,0.47312588401697314,0.07115614521776464,0.5439172866878008,0.48786944578445834,0.05604784090334247,0.015108304314422172,100,6161,0.5395744408691022,0.4803791231153201,0.05919531775378212,0.011960827463982526,True,supported
