seed,FNRf_raw,FNRm_raw,S_raw,FNRf_match,FNRm_match,S_match,FNRf_ipw,FNRm_ipw,S_ipw,dS_match,dS_ipw
3658676649,0.5026178010471204,0.4842681258549932,0.018349675192127213,0.5026178010471204,0.49401534461058444,0.008602456436535955,0.49888683195758265,0.48916511117242367,0.009721720785158983,0.009747218755591258,0.00862795440696823
768519171,0.5044169611307421,0.4989429175475687,0.0054740435831733825,0.5038975224194514,0.5088421019021124,-0.004944579482661027,0.4997921250581794,0.5041697566555575,-0.00437763159737814,0.01041862306583441,0.009851675180551522
113462462,0.5127081507449606,0.451459606245757,0.06124854449920358,0.5124078061010351,0.46051303440653535,0.05189477169449974,0.5058547266811996,0.4559259169664765,0.04992880971472308,0.009353772804703842,0.011319734784480506
2748406118,0.5406091370558376,0.4804138950480414,0.06019524200779619,0.5407493529353999,0.48750211968685264,0.0532472332485473,0.5371082146894788,0.4838637869145221,0.05324442777495669,0.0069480087592488915,0.006950814232839497
1569714665,0.509515570934256,0.503586800573888,0.005928770360367985,0.5093280056653594,0.5156358344707851,-0.006307828805425686,0.5070191063954903,0.5102121005926926,-0.0031929941972023146,0.012236599165793671,0.0091217645575703
2006902500,0.5190641247833622,0.5111712931618145,0.007892831621547636,0.5190403678815868,0.521225095249843,-0.0021847273682561452,0.511113614076647,0.516139839286184,-0.005026225209536994,0.010077558989803781,0.01291905683108463
342858866,0.5033112582781457,0.4865047233468286,0.01680653493131712,0.5026698228456413,0.4977182039891994,0.004951618856441908,0.49618803370972814,0.49193429983666304,0.004253733873065102,0.01185491607487521,0.012552801058252017
1591287646,0.476027397260274,0.48168624740843125,-0.005658850148157257,0.4760273972602739,0.49511645321223796,-0.019089055951964085,0.4722432858732132,0.48845358523045856,-0.016210299357245384,0.013430205803806827,0.010551449209088126
2763601433,0.527027027027027,0.49748743718592964,0.029539589841097336,0.5268052543075086,0.5081887463504356,0.018616507957072925,0.5177334316013297,0.5026877221569356,0.015045709444394095,0.01092308188402441,0.01449388039670324
1524358342,0.5442820292347378,0.47312588401697314,0.07115614521776464,0.5439172866878008,0.48786944578445834,0.05604784090334247,0.5395744408691022,0.4803791231153201,0.05919531775378212,0.015108304314422172,0.011960827463982526
