finding,split_seed,adjustment_method,n_patients,n_female,n_male,delta_s,p_value,q_value,reject_bh,n_resamples,n_valid_permutations,n_invalid_permutations,exceedances,permutation_seed
Infiltration,2006902500,matched,6159,2824,3335,0.007098800195627586,0.16318368163183683,0.6114588541145884,False,10000,10000,0,1631,3001023119
Pneumothorax,2006902500,matched,6159,2824,3335,-0.003916532905296921,0.8382161783821618,1.0,False,10000,10000,0,8382,3001023119
Edema,2006902500,matched,6159,2824,3335,-0.02063599458728005,0.21837816218378162,0.6114588541145884,False,10000,10000,0,2183,3001023119
Emphysema,2006902500,matched,6159,2824,3335,0.0010496796127152236,0.957004299570043,1.0,False,10000,10000,0,9570,3001023119
Fibrosis,2006902500,matched,6159,2824,3335,0.036876116345945176,0.0178982101789821,0.2505749425057494,False,10000,10000,0,178,3001023119
Effusion,2006902500,matched,6159,2824,3335,0.01350157799708085,0.12058794120587941,0.6114588541145884,False,10000,10000,0,1205,3001023119
Pneumonia,2006902500,matched,6159,2824,3335,-0.007280345142288258,0.7775222477752225,1.0,False,10000,10000,0,7775,3001023119
Pleural_Thickening,2006902500,matched,6159,2824,3335,0.016919025136233,0.21697830216978303,0.6114588541145884,False,10000,10000,0,2169,3001023119
Cardiomegaly,2006902500,matched,6159,2824,3335,0.009173147737990966,0.32656734326567344,0.7619904676199046,False,10000,10000,0,3265,3001023119
Nodule,2006902500,matched,6159,2824,3335,0.004487847069542639,0.6203379662033797,1.0,False,10000,10000,0,6203,3001023119
Mass,2006902500,matched,6159,2824,3335,-0.002929150542216985,0.7481251874812519,1.0,False,10000,10000,0,7481,3001023119
Hernia,2006902500,matched,6159,2824,3335,0.0,1.0,1.0,False,10000,9996,4,9996,3001023119
Atelectasis,342858866,matched,6159,2859,3300,0.008888192342492662,0.3214678532146785,0.5625687431256874,False,10000,10000,0,3214,1326075975
Consolidation,342858866,matched,6159,2859,3300,0.0248596070621947,0.14278572142785723,0.3331666833316669,False,10000,10000,0,1427,1326075975
Infiltration,342858866,matched,6159,2859,3300,0.005359911405482309,0.26407359264073593,0.5281471852814719,False,10000,10000,0,2640,1326075975
Pneumothorax,342858866,matched,6159,2859,3300,0.00030547665865554574,0.9855014498550145,0.9855014498550145,False,10000,10000,0,9855,1326075975
Edema,342858866,matched,6159,2859,3300,0.017983074753173456,0.11028897110288971,0.30880911908809117,False,10000,10000,0,1102,1326075975
Emphysema,342858866,matched,6159,2859,3300,0.0019171263435676933,0.928907109289071,0.9855014498550145,False,10000,10000,0,9289,1326075975
Fibrosis,342858866,matched,6159,2859,3300,0.02931193777840274,0.029797020297970205,0.1390527613905276,False,10000,10000,0,297,1326075975
Effusion,342858866,matched,6159,2859,3300,0.023679330529447207,0.0029997000299970002,0.041995800419958006,True,10000,10000,0,29,1326075975
Pneumonia,342858866,matched,6159,2859,3300,-0.013899098653988029,0.49055094490550943,0.6837679868376798,False,10000,10000,0,4905,1326075975
Pleural_Thickening,342858866,matched,6159,2859,3300,0.02616273051949708,0.028697130286971302,0.1390527613905276,False,10000,10000,0,286,1326075975
Cardiomegaly,342858866,matched,6159,2859,3300,-0.009528838026827968,0.38606139386061394,0.6005399460053994,False,10000,10000,0,3860,1326075975
Nodule,342858866,matched,6159,2859,3300,0.0005379269867735736,0.9428057194280572,0.9855014498550145,False,10000,10000,0,9428,1326075975
Mass,342858866,matched,6159,2859,3300,0.005332438466531753,0.5372462753724627,0.6837679868376798,False,10000,10000,0,5372,1326075975
Hernia,342858866,matched,6159,2859,3300,0.06156156156156156,0.05069493050694931,0.1774322567743226,False,10000,10000,0,506,1326075975
Atelectasis,1591287646,matched,6158,2860,3298,0.00978782800159228,0.23587641235876414,0.3319068093190681,False,10000,10000,0,2358,636807137
Consolidation,1591287646,matched,6158,2860,3298,0.030774008667541763,0.07079292070792921,0.27857214278572145,False,10000,10000,0,707,636807137
Infiltration,1591287646,matched,6158,2860,3298,0.011487256625632769,0.023297670232976703,0.1630836916308369,False,10000,10000,0,232,636807137
Pneumothorax,1591287646,matched,6158,2860,3298,0.00887801936413285,0.5425457454254574,0.6329700363297003,False,10000,10000,0,5425,636807137
Edema,1591287646,matched,6158,2860,3298,-0.05747353843110092,0.10768923107689231,0.27857214278572145,False,10000,10000,0,1076,636807137
Emphysema,1591287646,matched,6158,2860,3298,0.018835880809016492,0.1332866713328667,0.27857214278572145,False,10000,10000,0,1332,636807137
Fibrosis,1591287646,matched,6158,2860,3298,0.01742626428522548,0.20727927207279273,0.3319068093190681,False,10000,10000,0,2072,636807137
Effusion,1591287646,matched,6158,2860,3298,-0.002159292831597659,0.803919608039196,0.803919608039196,False,10000,10000,0,8039,636807137
Pneumonia,1591287646,matched,6158,2860,3298,0.04674172637325158,0.13928607139286073,0.27857214278572145,False,10000,10000,0,1392,636807137
Pleural_Thickening,1591287646,matched,6158,2860,3298,0.019982198486871494,0.0841915808419158,0.27857214278572145,False,10000,10000,0,841,636807137
Cardiomegaly,1591287646,matched,6158,2860,3298,0.022630503001341173,0.0051994800519948,0.0727927207279272,False,10000,10000,0,51,636807137
Nodule,1591287646,matched,6158,2860,3298,0.0026653821451509963,0.7094290570942906,0.7640005230246207,False,10000,10000,0,7094,636807137
Mass,1591287646,matched,6158,2860,3298,0.007515376262398676,0.3658634136586341,0.46564434465644344,False,10000,10000,0,3658,636807137
Hernia,1591287646,matched,6158,2860,3298,0.05948275862068958,0.23707629237076291,0.3319068093190681,False,10000,10000,0,2370,636807137
Atelectasis,2763601433,matched,6160,2867,3293,0.01635246412335095,0.055594440555944404,0.3891610838916108,False,10000,10000,0,555,1004948877
Consolidation,2763601433,matched,6160,2867,3293,0.02286426653515261,0.23547645235476453,0.7653234676532347,False,10000,10000,0,2354,1004948877
Infiltration,2763601433,matched,6160,2867,3293,0.013522949604996004,0.010698930106989302,0.14978502149785022,False,10000,10000,0,106,1004948877
Pneumothorax,2763601433,matched,6160,2867,3293,0.019105112030568194,0.27747225277472254,0.7653234676532347,False,10000,10000,0,2774,1004948877
Edema,2763601433,matched,6160,2867,3293,-0.04148851939825815,0.3117688231176882,0.7653234676532347,False,10000,10000,0,3117,1004948877
Emphysema,2763601433,matched,6160,2867,3293,0.017955801104972358,0.33236676332366766,0.7653234676532347,False,10000,10000,0,3323,1004948877
Fibrosis,2763601433,matched,6160,2867,3293,0.005292569289022109,0.7407259274072593,0.8641802486418024,False,10000,10000,0,7407,1004948877
Effusion,2763601433,matched,6160,2867,3293,0.003288757783140861,0.7362263773622638,0.8641802486418024,False,10000,10000,0,7362,1004948877
Pneumonia,2763601433,matched,6160,2867,3293,-0.0020634920634921006,0.9447055294470553,0.9965928449744463,False,10000,10000,0,9447,1004948877
Pleural_Thickening,2763601433,matched,6160,2867,3293,0.010956275654813885,0.38266173382661733,0.7653234676532347,False,10000,10000,0,3826,1004948877
Cardiomegaly,2763601433,matched,6160,2867,3293,-0.006082431594182924,0.6174382561743825,0.8641802486418024,False,10000,10000,0,6174,1004948877
Nodule,2763601433,matched,6160,2867,3293,-0.004986557552917326,0.555944405559444,0.8641802486418024,False,10000,10000,0,5559,1004948877
Mass,2763601433,matched,6160,2867,3293,-0.0036619779772207872,0.6659334066593341,0.8641802486418024,False,10000,10000,0,6659,1004948877
Hernia,2763601433,matched,6160,2867,3293,0.019607843137254943,0.9965928449744463,0.9965928449744463,False,10000,9978,22,9944,1004948877
Atelectasis,1524358342,matched,6161,2863,3298,0.006448795458216805,0.5375462453754625,0.7225431303023544,False,10000,10000,0,5375,3300290604
Consolidation,1524358342,matched,6161,2863,3298,0.024364310066062378,0.23937606239376064,0.44078092190780915,False,10000,10000,0,2393,3300290604
Infiltration,1524358342,matched,6161,2863,3298,0.013056773387457588,0.027997200279972004,0.13065360130653603,False,10000,10000,0,279,3300290604
Pneumothorax,1524358342,matched,6161,2863,3298,-0.010340738757134205,0.670932906709329,0.7225431303023544,False,10000,10000,0,6709,3300290604
Edema,1524358342,matched,6161,2863,3298,-0.028116596999020554,0.48474847484748473,0.7225431303023544,False,10000,9998,2,4846,3300290604
Emphysema,1524358342,matched,6161,2863,3298,0.012439614992401066,0.6307369263073692,0.7225431303023544,False,10000,10000,0,6307,3300290604
Fibrosis,1524358342,matched,6161,2863,3298,0.03414830558657783,0.0245975402459754,0.13065360130653603,False,10000,10000,0,245,3300290604
Effusion,1524358342,matched,6161,2863,3298,0.01158234989070317,0.2518748125187481,0.44078092190780915,False,10000,10000,0,2518,3300290604
Pneumonia,1524358342,matched,6161,2863,3298,-0.007137809076535273,0.5875412458754125,0.7225431303023544,False,10000,10000,0,5875,3300290604
Pleural_Thickening,1524358342,matched,6161,2863,3298,0.01976406114943624,0.1872812718728127,0.44078092190780915,False,10000,10000,0,1872,3300290604
Cardiomegaly,1524358342,matched,6161,2863,3298,0.012278902948333698,0.22797720227977203,0.44078092190780915,False,10000,10000,0,2279,3300290604
Nodule,1524358342,matched,6161,2863,3298,0.0026100953528311877,0.7704229577042295,0.7704229577042295,False,10000,10000,0,7704,3300290604
Mass,1524358342,matched,6161,2863,3298,0.013160510329260244,0.19588041195880412,0.44078092190780915,False,10000,10000,0,1958,3300290604
Hernia,1524358342,matched,6161,2863,3298,0.05854430379746833,0.0066993300669933005,0.0937906209379062,False,10000,10000,0,66,3300290604
