dataset,backbone,condition,split_seed,finding,subgroup,metric,value,ci_lower,ci_upper
NIH,densenet121-res224-all,condition_1_original,768519171,Atelectasis,sex:female,fnr,0.3769230769230769,0.29666100543478263,0.4554097560975609
NIH,densenet121-res224-all,condition_1_original,768519171,Atelectasis,sex:male,fnr,0.40476190476190477,0.33861422783232037,0.4724687627325818
NIH,densenet121-res224-all,condition_1_original,768519171,Atelectasis,sex_gap:female-minus-male,fnr,-0.02783882783882785,-0.13858043317692037,0.0767083671185526
NIH,densenet121-res224-all,condition_1_original,768519171,Consolidation,sex:female,fnr,0.6,0.45224654377880186,0.7420967741935484
NIH,densenet121-res224-all,condition_1_original,768519171,Consolidation,sex:male,fnr,0.576271186440678,0.4428161592505855,0.6933709677419355
NIH,densenet121-res224-all,condition_1_original,768519171,Consolidation,sex_gap:female-minus-male,fnr,0.023728813559321993,-0.1667014925373134,0.21743956100400627
NIH,densenet121-res224-all,condition_1_original,768519171,Infiltration,sex:female,fnr,0.7766666666666666,0.7250958343981599,0.8248407643312102
NIH,densenet121-res224-all,condition_1_original,768519171,Infiltration,sex:male,fnr,0.7242206235011991,0.6792240061162079,0.765843293224582
NIH,densenet121-res224-all,condition_1_original,768519171,Infiltration,sex_gap:female-minus-male,fnr,0.052446043165467526,-0.018164366838499906,0.11613600034084849
NIH,densenet121-res224-all,condition_1_original,768519171,Pneumothorax,sex:female,fnr,0.4,0.24390243902439024,0.5625
NIH,densenet121-res224-all,condition_1_original,768519171,Pneumothorax,sex:male,fnr,0.3,0.10526315789473684,0.5
NIH,densenet121-res224-all,condition_1_original,768519171,Pneumothorax,sex_gap:female-minus-male,fnr,0.10000000000000003,-0.1543155703141471,0.3580650252525252
NIH,densenet121-res224-all,condition_1_original,768519171,Edema,sex:female,fnr,0.25,0.0,0.6
NIH,densenet121-res224-all,condition_1_original,768519171,Edema,sex:male,fnr,0.4,0.1,0.75
NIH,densenet121-res224-all,condition_1_original,768519171,Edema,sex_gap:female-minus-male,fnr,-0.15000000000000002,-0.6048076923076922,0.3040909090909088
NIH,densenet121-res224-all,condition_1_original,768519171,Emphysema,sex:female,fnr,0.1875,0.0,0.4
NIH,densenet121-res224-all,condition_1_original,768519171,Emphysema,sex:male,fnr,0.13793103448275862,0.021153846153846682,0.26984265734265717
NIH,densenet121-res224-all,condition_1_original,768519171,Emphysema,sex_gap:female-minus-male,fnr,0.04956896551724138,-0.17436061381074164,0.30371732480533914
NIH,densenet121-res224-all,condition_1_original,768519171,Fibrosis,sex:female,fnr,0.4666666666666667,0.33993396226415096,0.5944727104532839
NIH,densenet121-res224-all,condition_1_original,768519171,Fibrosis,sex:male,fnr,0.4918032786885246,0.3627358490566039,0.6121088107847857
NIH,densenet121-res224-all,condition_1_original,768519171,Fibrosis,sex_gap:female-minus-male,fnr,-0.025136612021857907,-0.2069463431305536,0.15841503267973847
NIH,densenet121-res224-all,condition_1_original,768519171,Effusion,sex:female,fnr,0.2196969696969697,0.15088640719445676,0.2938580799045915
NIH,densenet121-res224-all,condition_1_original,768519171,Effusion,sex:male,fnr,0.3442622950819672,0.26113724853990916,0.4314096206298041
NIH,densenet121-res224-all,condition_1_original,768519171,Effusion,sex_gap:female-minus-male,fnr,-0.12456532538499751,-0.2375980453972257,-0.0165975252817358
NIH,densenet121-res224-all,condition_1_original,768519171,Pneumonia,sex:female,fnr,0.5,0.25,0.75
NIH,densenet121-res224-all,condition_1_original,768519171,Pneumonia,sex:male,fnr,0.6666666666666666,0.4482500000000002,0.8823529411764706
NIH,densenet121-res224-all,condition_1_original,768519171,Pneumonia,sex_gap:female-minus-male,fnr,-0.16666666666666663,-0.5168626482213438,0.16666666666666663
