dataset,backbone,condition,split_seed,finding,subgroup,metric,value
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,age:40-49,auroc,0.8158447448433765
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,age:40-49,auprc,0.23658196586247685
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,age:40-49,f1,0.2320257034993122
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,age:40-49,sensitivity,0.5364083958533271
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,age:40-49,specificity,0.8459104976321672
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,age:40-49,brier_score,0.04102342905730993
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,age:40-49,expected_calibration_error,0.012090602359739838
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,age:50-59,auroc,0.7797195897632918
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,age:50-59,auprc,0.1875047639452652
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,age:50-59,f1,0.24073187866196782
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,age:50-59,sensitivity,0.6156650711948769
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,age:50-59,specificity,0.7666203316039566
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,age:50-59,brier_score,0.054991420391277475
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,age:50-59,expected_calibration_error,0.015230046111885434
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,age:60-69,auroc,0.7678914600261172
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,age:60-69,auprc,0.23450300632816767
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,age:60-69,f1,0.27603361371021445
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,age:60-69,sensitivity,0.7118940347811479
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,age:60-69,specificity,0.7129649624844839
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,age:60-69,brier_score,0.0656220554578939
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,age:60-69,expected_calibration_error,0.017776054520752337
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,age:70-79,auroc,0.6619756541097459
