dataset,backbone,condition,split_seed,finding,subgroup,metric,value
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:20-24,specificity,0.7530224525043178
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:20-24,brier_score,0.05426501320961806
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:20-24,expected_calibration_error,0.018758347053495522
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:25-29,auroc,0.7602089268755935
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:25-29,auprc,0.17286855351737176
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:25-29,f1,0.23423423423423423
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:25-29,sensitivity,0.6419753086419753
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:25-29,specificity,0.7454991816693944
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:25-29,brier_score,0.05545420362935963
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:25-29,expected_calibration_error,0.017582672810576114
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:30-34,auroc,0.7531154767813589
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:30-34,auprc,0.14722599676742582
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:30-34,f1,0.20802377414561665
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:30-34,sensitivity,0.6422018348623854
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:30-34,specificity,0.7126236183827807
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:30-34,brier_score,0.05413827641332006
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:30-34,expected_calibration_error,0.01309552464887851
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:35-39,auroc,0.790563687324821
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:35-39,auprc,0.2651874618730283
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:35-39,f1,0.32364096080910243
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:35-39,sensitivity,0.757396449704142
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:35-39,specificity,0.6976744186046512
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:35-39,brier_score,0.0774478992506018
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:35-39,expected_calibration_error,0.030050409216240314
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:40-44,auroc,0.7748723381138636
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:40-44,auprc,0.2699733431785495
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:40-44,f1,0.32665330661322645
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:40-44,sensitivity,0.7836538461538461
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:40-44,specificity,0.6457627118644068
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:40-44,brier_score,0.08660425773660763
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:40-44,expected_calibration_error,0.034244056572427906
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:45-49,auroc,0.7609687736433042
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:45-49,auprc,0.29247556990866447
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:45-49,f1,0.31183673469387757
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:45-49,sensitivity,0.7126865671641791
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:45-49,specificity,0.6470046082949309
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:45-49,brier_score,0.08997463295152834
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:45-49,expected_calibration_error,0.03912881424574054
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:50-54,auroc,0.7639132253703019
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:50-54,auprc,0.2713228077970186
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:50-54,f1,0.30526315789473685
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:50-54,sensitivity,0.8169014084507042
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:50-54,specificity,0.5678002582866982
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:50-54,brier_score,0.08874990976902757
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:50-54,expected_calibration_error,0.023410477949734436
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:55-59,auroc,0.7485169491525424
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:55-59,auprc,0.22211605909236334
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:55-59,f1,0.30689877498388135
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:55-59,sensitivity,0.8206896551724138
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:55-59,specificity,0.5665254237288135
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:55-59,brier_score,0.09184906561272246
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:55-59,expected_calibration_error,0.02871270573010475
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:60-64,auroc,0.7455077648589317
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:60-64,auprc,0.28762978123312
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:60-64,f1,0.30730478589420657
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:60-64,sensitivity,0.7689075630252101
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:60-64,specificity,0.5617529880478087
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:60-64,brier_score,0.09686513654749442
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:60-64,expected_calibration_error,0.032974996427651775
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:65-69,auroc,0.7530133437763818
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:65-69,auprc,0.3264454041686326
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:65-69,f1,0.34750462107208874
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:65-69,sensitivity,0.8430493273542601
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:65-69,specificity,0.5196850393700787
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:65-69,brier_score,0.1085483142452571
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:65-69,expected_calibration_error,0.04019585305017873
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:70-74,auroc,0.6966003994190269
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:70-74,auprc,0.24145025642751466
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:70-74,f1,0.25348189415041783
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:70-74,sensitivity,0.8425925925925926
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:70-74,specificity,0.3639705882352941
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:70-74,brier_score,0.0974938050961669
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:70-74,expected_calibration_error,0.02210760075831786
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:75-79,auroc,0.6953162578162578
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:75-79,auprc,0.25502165171811386
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:75-79,f1,0.3004694835680751
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:75-79,sensitivity,0.8888888888888888
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:75-79,specificity,0.3722943722943723
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:75-79,brier_score,0.11027787671992609
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:75-79,expected_calibration_error,0.02123817905595296
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:80-84,auroc,0.5026652452025586
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:80-84,auprc,0.10062010714110572
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:80-84,f1,0.17307692307692307
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:80-84,sensitivity,0.6428571428571429
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:80-84,specificity,0.39552238805970147
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:80-84,brier_score,0.09206579049569762
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:80-84,expected_calibration_error,0.05195047844805427
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:85-89,auroc,0.656140350877193
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:85-89,auprc,0.3450927750940224
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:85-89,f1,0.4935064935064935
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:85-89,sensitivity,0.95
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:85-89,specificity,0.3333333333333333
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:85-89,brier_score,0.20263185329596958
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:85-89,expected_calibration_error,0.146831894728851
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:95-99,specificity,1.0
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:95-99,brier_score,0.0007003992136467331
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:95-99,expected_calibration_error,0.026465056464076042
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,overall,auroc,0.7637511646924279
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,overall,auprc,0.09877566419316994
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,overall,f1,0.14923263327948302
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,overall,sensitivity,0.8041349292709467
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,overall,specificity,0.6177097821047751
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,overall,brier_score,0.039109278581812845
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,overall,expected_calibration_error,0.011246155117242878
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,sex:female,auroc,0.7760030577070082
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,sex:female,auprc,0.11165921922275572
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,sex:female,f1,0.1530511811023622
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,sex:female,sensitivity,0.8141361256544503
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,sex:female,specificity,0.6285399449035812
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,sex:female,brier_score,0.03776714051103887
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,sex:female,expected_calibration_error,0.007398651147448768
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,sex:male,auroc,0.7551660515230301
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,sex:male,auprc,0.09320270902020805
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,sex:male,f1,0.14657534246575343
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,sex:male,sensitivity,0.7970204841713222
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,sex:male,specificity,0.60984393757503
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,sex:male,brier_score,0.04008323497648056
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,sex:male,expected_calibration_error,0.014130537331483324
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:00-04,auroc,0.0
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:00-04,auprc,0.014084507042253521
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:00-04,f1,0.0
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:00-04,sensitivity,0.0
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:00-04,specificity,0.7857142857142857
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:00-04,brier_score,0.01659025630708232
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:00-04,expected_calibration_error,0.014427608564417337
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:05-09,auroc,0.6810111699000588
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:05-09,auprc,0.21802993779473603
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:05-09,f1,0.3333333333333333
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:05-09,sensitivity,0.7142857142857143
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:05-09,specificity,0.6296296296296297
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:05-09,brier_score,0.11464738610067249
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:05-09,expected_calibration_error,0.09203963016625494
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:10-14,auroc,0.873015873015873
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:10-14,auprc,0.16438585775881234
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:10-14,f1,0.13793103448275862
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:10-14,sensitivity,0.8888888888888888
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:10-14,specificity,0.6925465838509317
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:10-14,brier_score,0.026171508228197273
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:10-14,expected_calibration_error,0.024689692025441464
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:15-19,auroc,0.7801504366702005
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:15-19,auprc,0.13331592762384706
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:15-19,f1,0.17582417582417584
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:15-19,sensitivity,0.7741935483870968
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:15-19,specificity,0.6588419405320813
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:15-19,brier_score,0.04237921135761204
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:15-19,expected_calibration_error,0.010395495099043335
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:20-24,auroc,0.7623713417090949
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:20-24,auprc,0.08154034759822516
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:20-24,f1,0.14476190476190476
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:20-24,sensitivity,0.8260869565217391
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:20-24,specificity,0.628475147430497
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:20-24,brier_score,0.03774417002839019
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:20-24,expected_calibration_error,0.022107697590231585
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:25-29,auroc,0.7604563356443056
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:25-29,auprc,0.11013989832461107
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:25-29,f1,0.12716763005780346
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:25-29,sensitivity,0.673469387755102
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:25-29,specificity,0.6515151515151515
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:25-29,brier_score,0.03683692307630282
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:25-29,expected_calibration_error,0.014258022382226433
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:30-34,auroc,0.7526687944648298
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:30-34,auprc,0.14545265031802448
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:30-34,f1,0.14796547472256474
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:30-34,sensitivity,0.759493670886076
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:30-34,specificity,0.6157804459691252
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:30-34,brier_score,0.040472366995833856
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:30-34,expected_calibration_error,0.017459216109169774
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:35-39,auroc,0.7716397072982861
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:35-39,auprc,0.09399682601216083
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:35-39,f1,0.1565934065934066
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:35-39,sensitivity,0.7916666666666666
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:35-39,specificity,0.6539572501444252
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:35-39,brier_score,0.0391708028475869
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:35-39,expected_calibration_error,0.011945680948232595
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:40-44,auroc,0.7802658691806925
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:40-44,auprc,0.11146641552226658
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:40-44,f1,0.16203703703703703
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:40-44,sensitivity,0.8045977011494253
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:40-44,specificity,0.6261237440507668
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:40-44,brier_score,0.04103454000168813
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:40-44,expected_calibration_error,0.006360375223407304
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:45-49,auroc,0.7721382754315727
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:45-49,auprc,0.0965977843868427
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:45-49,f1,0.14042126379137412
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:45-49,sensitivity,0.7865168539325843
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:45-49,specificity,0.643252447850149
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,age:45-49,brier_score,0.03527186662009903
